City,Count,Latitude,Longitude
Brussels,20,50.8465573,4.351697
Amsterdam,9,52.3730796,4.8924534
Prague,7,50.0874654,14.4212535
Berlin,5,52.510885,13.3989367
Tbilisi,4,41.6934591,44.8014495
Aarhus,4,56.1496278,10.2134046
Kyiv,3,50.4500336,30.5241361
Basel,3,47.5581077,7.5878261
Munich,3,48.1371079,11.5753822
London,3,51.4893335,-0.14405508452768728
Paris,3,48.8534951,2.3483915
Budapest,3,47.48138955,19.14609412691246
Hamburg,3,53.550341,10.000654
Vienna,3,48.2083537,16.3725042
Stockholm,3,59.3251172,18.0710935
Sarajevo,2,43.8519774,18.3866868
Bucharest,2,44.4361414,26.1027202
Leiden,2,52.1594747,4.4908843
Copenhagen,2,55.6867243,12.5700724
"Athens, Greece",2,37.9755648,23.7348324
Istanbul,2,41.0766019,29.052495
Rotterdam,2,51.9244424,4.47775
The Hague,2,52.0799838,4.3113461
Milan,1,45.4641943,9.1896346
Bonn,1,50.7352621,7.1024635
Strasbourg,1,48.584614,7.7507127
Krakow,1,50.0469432,19.997153435836697
Warsaw,1,52.2337172,21.071432235636493
Groningen,1,53.2190652,6.5680077
Cologne,1,43.7218277,0.9774958
Patras,1,38.246242,21.7350847
Zagabria,1,45.8130967,15.9772795
Marbella,1,36.508976,-4.88562
Szczecin,1,53.42968095,14.592912670292268
Bratislava,1,48.1516988,17.1093063
Geneva,1,46.2017559,6.1466014
"Perthshire, UK",1,56.76615485,-3.3391095
Trento,1,46.1029536,11.12974249416882
Nicosia,1,35.1746503,33.3638783
Sintra,1,38.79846,-9.3881
Katerini (North Greece),1,40.2869016,22.5313808
Madrid,1,40.4167047,-3.7035825
Casa,1,33.5945144,-7.6200284
Luxembourg,1,49.6112768,6.129799
Vilnius,1,54.6870458,25.2829111
Dublin,1,53.3493795,-6.2605593
Utrecht,1,52.0907006,5.1215634
Riga,1,56.9493977,24.1051846
Oslo,1,59.9133301,10.7389701
Pazardzhik,1,42.1486841,24.153187147015288
Gjakova,1,42.3798793,20.4316226
Zadar,1,44.1168594,15.2353257
Zagreb,1,45.8130967,15.9772795
Skopje,1,41.9961816,21.4319213
Sofia,1,42.6977028,23.3217359
Malaga,1,36.7213028,-4.4216366
TÃ¼bingen,1,48.5203263,9.053596
Sevilla,1,37.3886303,-5.9953403
Edinburgh,1,55.9533456,-3.1883749
Ede,1,52.07168255,5.745510631034939
Uzhhorod,1,48.6223731,22.3022572
Yerevan,1,40.1777112,44.5126233
"Isle of Wight, UK",1,50.6710482,-1.3327111133199459
Lisbon,1,38.7077507,-9.1365919
Glasgow,1,55.861155,-4.2501687
Rivne,1,51.2074112,26.5208033
Hilversum,1,52.2241375,5.1719396
Gozo,1,36.0467778,14.25825649123654
Nijmegen,1,51.842574850000005,5.838960628748229
Hannover,1,52.3744779,9.7385532
